d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 d7d5                               : .......24 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 g8f6 c1f4 c8f5 e2e3 e7e6 f1e2 f8d6                               : .......37 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 g8f6                               : ....2 832 moves, avg. D34, 019 counts/move
c2c4 g8f6 g1f3 c7c5 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7                               : .......31 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f1d3 b8c6                               : .......44 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e6 g1f3 f8e7 b1c3 g8f6 c1f4 b7b6                               : ......103 moves, avg. D15, 008 counts/move
d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 b1d2 c7c5 b2b3 b8c6                               : ....3 102 moves, avg. D41, 043 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6                               : .......45 moves, avg. D05, 010 counts/move
d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 e2e3 d5c4 f1c4 a7a6                               : ......813 moves, avg. D36, 045 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 c7c5                               : .......40 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 c7c6 c1f4 d7d5 e2e3 e7e6 a2a3 f8d6                               : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8                               : ...52 347 moves, avg. D62, 067 counts/move
d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 b1d2 f8e7 b2b3 e8g8                               : ......399 moves, avg. D27, 009 counts/move
e2e4 c7c6 b1c3 d7d5 g1f3 c8g4 h2h3 g4f3 d1f3 g8f6                               : .......70 moves, avg. D31, 012 counts/move
g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 d2d4 b4c3                               : .......94 moves, avg. D20, 012 counts/move
e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 c5d4 f3d4 b8c6                               : .......37 moves, avg. D01, 001 counts/move
e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 g1f3 b8c6 f1c4 d5b6                               : ......380 moves, avg. D28, 011 counts/move
d2d4 d7d5 e2e3 c8f5 g1f3 e7e6 f1d3 b8c6 e1g1 g8f6                               : .......98 moves, avg. D19, 010 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 b8c6                               : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f1d3 g7g6                               : .......44 moves, avg. D01, 001 counts/move
g1f3 d7d5 g2g3 c7c6 f1g2 c8g4 e1g1 b8d7 d2d4 g8f6                               : .......31 moves, avg. D02, 002 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4                               : ......917 moves, avg. D31, 025 counts/move
e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 b8c6 g1f3 c8g4                               : .......35 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 g2g3 e7e5 f1g2 f8e7                               : .......26 moves, avg. D01, 001 counts/move
e2e4 c7c5 b1c3 a7a6 g1f3 e7e6 f1e2 b8c6 e1g1 g8f6                               : .......28 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 g1f3 d5c4 f1g2 b8c6                               : .......35 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 g2g3 b8c6 f1g2 e7e6                               : .......27 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 g8f6                               : ......300 moves, avg. D25, 017 counts/move
d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 e2e3 f8e7 b2b3 e8g8                               : ......284 moves, avg. D28, 009 counts/move
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 c8d7                               : ......648 moves, avg. D25, 018 counts/move
g1f3 c7c5 e2e4 d7d6 c2c3 g8f6 f1d3 c8g4 d3c2 b8c6                               : .......26 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 g8f6 c1f4 c8f5 e2e3 e7e6 f1d3 f5g6                               : .......42 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1e2 g8f6 b1c3 d7d6 g2g3 g7g6 f1g2 f8g7                               : .......27 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 b1c3 f8b4 c1g5 h7h6                               : ......381 moves, avg. D35, 040 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 d2d3 b8c6 g2g3 g7g6                               : .......29 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 e7e6 e2e3 g8f6 d1c2 b7b6                               : .......37 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 d2d4 c5d4 d1d4 a7a6                               : .......25 moves, avg. D03, 005 counts/move
g1f3 c7c5 c2c4 b8c6 b1c3 g7g6 e2e3 g8f6 d2d4 c5d4                               : ......114 moves, avg. D26, 047 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 g1f3 f8b4 c1d2 b4e7                               : 1 000 000 moves, avg. D33, 046 counts/move
g1f3 c7c5 c2c4 b8c6 e2e3 g8f6 b1c3 e7e5 d2d4 e5e4                               : ......104 moves, avg. D20, 010 counts/move
g1f3 d7d5 e2e3 c7c5 b2b3 g8f6 c1b2 e7e6 d2d4 b8c6                               : ....6 233 moves, avg. D42, 045 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 c5b6                               : .......37 moves, avg. D02, 004 counts/move
e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 g1f3 d7d6 d2d4 c5d4                               : ......542 moves, avg. D31, 025 counts/move
d2d4 d7d5 c1f4 g8f6 b1d2 e7e6 g1f3 f8d6 e2e3 b7b6                               : .......36 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8b4 c3d5 b4c5                               : .......37 moves, avg. D03, 005 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 c2c3 a7a6                               : ....3 939 moves, avg. D33, 032 counts/move
e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f3e5 d7d5 b1d2 b8d7                               : .......37 moves, avg. D01, 001 counts/move
g1f3 e7e6 c2c4 d7d5 d2d4 g8f6 b1c3 f8e7 d1c2 e8g8                               : .......43 moves, avg. D02, 004 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5                               : .......85 moves, avg. D20, 012 counts/move
g1f3 g8f6 c2c4 c7c5 g2g3 d7d5 d2d4 d5c4 d1a4 b8c6                               : ......148 moves, avg. D20, 013 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 a7a5                               : ..681 275 moves, avg. D43, 057 counts/move
d2d4 d7d5 c2c4 e7e6 c4d5 e6d5 b1c3 c7c6 c1f4 g8f6                               : ......701 moves, avg. D30, 023 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 d7d6 f3g5 g8h6                               : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 d2d3 e7e5 f2f4 f8e7                               : .......25 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6                               : ......400 moves, avg. D30, 029 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 h2h3 e7e6                               : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c6c5 g1f3 c8g4 d4c5 b8c6                               : ......166 moves, avg. D22, 006 counts/move
e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 g8f6 e4e5 f6d7                               : ...15 393 moves, avg. D35, 074 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d6                               : ....2 420 moves, avg. D34, 024 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 g2g3 b8c6 d2d3 e7e6                               : .......29 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 d7d5                               : 1 000 000 moves, avg. D34, 050 counts/move
d2d4 d7d5 c2c4 e7e6 c4d5 e6d5 b1c3 c7c6 c1f4 c8f5                               : ......565 moves, avg. D27, 018 counts/move
e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 d2d4 c5d4                               : ......507 moves, avg. D27, 015 counts/move
