h2h4 c7c5 : .......21 moves, avg. D01, 001 counts/move
h2h4 c7c6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b8a6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b8c6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g8f6 : .......22 moves, avg. D03, 002 counts/move
h2h4 g8h6 : .......21 moves, avg. D01, 001 counts/move
h2h4 d7d5 : .......32 moves, avg. D04, 003 counts/move
h2h4 d7d6 : .......21 moves, avg. D01, 001 counts/move
h2h4 e7e5 : ......293 moves, avg. D39, 016 counts/move
h2h4 e7e6 : .......21 moves, avg. D01, 001 counts/move
h2h4 f7f5 : .......21 moves, avg. D01, 001 counts/move
h2h4 f7f6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g7g5 : .......22 moves, avg. D01, 001 counts/move
h2h4 g7g6 : .......21 moves, avg. D01, 001 counts/move
h2h4 h7h5 : .......20 moves, avg. D01, 001 counts/move
h2h4 h7h6 : .......21 moves, avg. D01, 001 counts/move

Experience Rate : 23%
