e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f7f6 f3h4 g7g6 a2a4 f8f7 : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b1d2 e8g8 e1g1 f8e8 f1e1 a7a6 b5c6 d7c6 d2f1 a6a5 a2a4 f6g4 : .......29 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c4 d7d6 e1g1 c6a5 c4b3 a5b3 a2b3 c8g4 c2c3 a7a5 b1d2 b7b5 : .......23 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f7f6 f3h4 g7g6 h4f3 a7a5 : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 b7b5 a4b3 g8f6 d2d4 d7d6 c2c3 f8e7 e1g1 c8g4 h2h3 g4f3 d1f3 e5d4 : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 d7d6 c2c3 f8e7 d2d4 e8g8 h2h3 c8b7 b1d2 c6a5 : .......28 moves, avg. D01, 001 counts/move
g1f3 d7d5 d2d4 c7c5 c2c4 e7e6 c4d5 c5d4 d5e6 c8e6 f3d4 f8b4 b1c3 b8c6 d4e6 d8d1 e1d1 f7e6 e2e3 g8f6 : .......28 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 g8f6 c2c3 c7c5 d4c5 e7e6 c1e3 d8c7 b2b4 a7a5 a2a3 b8d7 g2g3 f6g4 e3f4 e6e5 f4c1 g4f6 : .......35 moves, avg. D01, 001 counts/move
g1f3 d7d5 d2d4 g8f6 e2e3 e7e6 b2b3 c7c5 f1d3 b8c6 c1b2 c5d4 e3d4 f8e7 a2a3 f6h5 g2g3 e8g8 d1e2 h5f6 : .......37 moves, avg. D01, 001 counts/move
g1f3 d7d5 d2d4 g8f6 e2e3 e7e6 b2b3 c7c5 f1d3 b7b6 c1b2 b8c6 b1d2 c8b7 d1e2 f8e7 f3e5 e8g8 e5c6 b7c6 : ......296 moves, avg. D40, 040 counts/move
c2c4 c7c6 g1f3 d7d5 d2d4 d5c4 e2e3 c8e6 b1d2 g8f6 d2c4 e6d5 f1d3 e7e6 e1g1 b8d7 d1e2 d5e4 d3e4 f6e4 : .......30 moves, avg. D01, 001 counts/move
c2c4 c7c6 d2d4 d7d5 g1f3 g8f6 e2e3 c8g4 h2h3 g4f3 d1f3 e7e6 b1c3 b8d7 f1d3 f8d6 c4d5 c6d5 e1g1 d6e7 : .......41 moves, avg. D01, 001 counts/move
g1f3 g8f6 d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 b1c3 e7e6 f3h4 f5g6 h4g6 h7g6 h2h3 f8e7 f1d3 b8d7 e1g1 e8g8 : .......51 moves, avg. D06, 005 counts/move
c2c4 e7e6 d2d4 d7d5 b1c3 g8f6 c4d5 e6d5 c1g5 c7c6 e2e3 h7h6 g5h4 f8e7 f1d3 e8g8 h4g3 f8e8 h2h3 d8b6 : .......50 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 g8f6 c1g5 h7h6 g5f6 d8f6 d1b3 b8d7 e2e3 g7g6 c4d5 e6d5 f1d3 f8g7 : .......50 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 h7h6 g5f6 d8f6 d1b3 a7a5 e2e3 f8d6 f1d3 e8g8 a2a3 f6e7 : .......49 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 c7c6 b1c3 e7e6 g1f3 g8f6 e2e3 b8d7 h2h3 f8d6 f1e2 e8g8 e1g1 f6e4 d1c2 f7f5 b2b3 d8e7 : .......37 moves, avg. D03, 004 counts/move
g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 a2a4 f8b4 f1d3 e8g8 e1g1 a7a5 d1c2 d8e7 b2b3 b7b6 : .......39 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 g1f3 f8e7 f1g2 e8g8 e1g1 c7c6 c1f4 d5c4 f3e5 f6d5 e5c4 d5f4 g3f4 b8d7 : .......43 moves, avg. D10, 010 counts/move
d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 f8b4 c1d2 b4e7 f1g2 e8g8 e1g1 c7c6 d1c2 b8d7 d2f4 b7b6 b1d2 f6h5 : .......47 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 f2f3 f8g7 e2e4 d7d6 b1c3 e8g8 c1e3 e7e5 d4d5 c7c5 g2g4 b8a6 g1h3 a6c7 h3f2 a7a6 : .......39 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 f2f3 f8g7 e2e4 d7d6 b1c3 e8g8 c1e3 e7e5 d4d5 c7c5 g2g4 b8a6 g1h3 f6d7 h1g1 a6c7 : .......41 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 f2f3 f8g7 e2e4 d7d6 b1c3 e8g8 c1e3 e7e5 d4d5 c7c5 g2g4 b8a6 g1h3 a8b8 h3f2 a6c7 : .......39 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 f2f3 f8g7 e2e4 d7d6 b1c3 e8g8 c1e3 e7e5 d4d5 c7c5 g2g4 f6e8 h2h4 f7f5 g4f5 g6f5 : .......41 moves, avg. D01, 001 counts/move
