h2h4 a7a6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b7b5 : .......21 moves, avg. D01, 001 counts/move
h2h4 b7b6 : .......21 moves, avg. D01, 001 counts/move
h2h4 c7c5 : .......21 moves, avg. D01, 001 counts/move
h2h4 c7c6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b8a6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b8c6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g8f6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g8h6 : .......21 moves, avg. D01, 001 counts/move
h2h4 d7d5 : .......21 moves, avg. D01, 001 counts/move
h2h4 d7d6 : .......21 moves, avg. D01, 001 counts/move
h2h4 e7e5 : .......32 moves, avg. D04, 008 counts/move
h2h4 e7e6 : .......21 moves, avg. D01, 001 counts/move
h2h4 f7f5 : .......21 moves, avg. D01, 001 counts/move
h2h4 f7f6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g7g5 : .......22 moves, avg. D01, 001 counts/move
h2h4 g7g6 : .......21 moves, avg. D01, 001 counts/move
h2h4 h7h5 : .......20 moves, avg. D01, 001 counts/move
h2h4 h7h6 : .......21 moves, avg. D01, 001 counts/move

Experience Rate : 17%
